QuorumID,NoteStartDate,InteractionType,Text,Topic,Stakeholder,AttendeesOrViews,ZipCode,CreatorFirstName,CreatorLastName,Organizations
13602742,May 30 2026,Presentation,Presenting on legislative updates to Badger Firewise Community,Legislation,Community Based Organization,1,93603,Richie,Sayavong,Badger Firewise Community
13789307,May 30 2026,Presentation,RPV Wildfire Resource Event,Safer from Wildfires; Sustainable Insurance Strategy,City,1,90275,Estela,Felix Almeida,Rancho Palos Verdes
13575617,May 28 2026,Presentation,SS-Beacon Ridge Firewise Presentation - Insurance,Safer from Wildfires; Sustainable Insurance Strategy; Insurance Issues,Community Based Organization,30,94596,Sharon,Smith,Beacon Ridge Firewise
13514855,May 28 2026,Meeting,SS - Hayward Mobile Country Club Presentation,Safer from Wildfires; Emergency Preparedness,Other,50,94545,Sharon,Smith,Hayward Mobile Country Club
13791154,May 23 2026,Meeting,Mountain Wide Firewise Community Meeting,Homeowners; Emergency Preparedness; Legislation,Community Based Organization,1,93664,Richie,Sayavong,Sierra Resource Conservation District
13778965,May 22 2026,Presentation,Virtual staff session and on-site presentation,CDI Overview; CLCA,Other,1,91331,Dystanie,Flores,MEND Poverty
13791118,May 22 2026,Meeting,Virtual meeting to discuss legislative updates,CDI Overview; Legislation,City,1,95076,Richie,Sayavong,Watsonville
13789159,May 21 2026,Presentation,CA Native American Tribal GIS Summit planning,Sustainable Insurance Strategy; Safer from Wildfires,Other,1,92373,Brenda,Caloca,California Tribal GIS
13790460,May 16 2026,Meeting,Meeting with Valerie to discuss potential CDI partnership,CDI Overview; Partnership Initiative,Community Based Organization,1,93621,Richie,Sayavong,Valerie Jasso Gorospe
13789292,May 16 2026,Presentation,Buen Provecho Event – Presentation & Table Participation,CDI Overview; CLCA,Community Based Organization,1,91331,Estela,Felix Almeida,MEND Poverty
13788919,May 15 2026,Presentation,Assembly Member District 52 – Zone Zero Townhall Workshop,Safer from Wildfires,Assembly,1,90065,Brenda,Caloca,CA Assemb. Jessica Caloza
13386325,May 15 2026,Presentation,Senior Scam Stopper with AD53 and AAA at Montclair Senior Center,Senior; CLCA,Assembly,25,91763,Dystanie,Flores,CA Assembly
13788900,May 14 2026,Presentation,Ventura Beach Marriott Real Estate Summit session,Safer from Wildfires; Sustainable Insurance Strategy,Other,1,93001,Brenda,Caloca,Ventura County Coastal Association of REALTORS
13791119,May 14 2026,Presentation,Presentation,Sustainable Insurance Strategy; Safer from Wildfires; Legislation; Homeowners,Government Agencies,1,95667,Durriya,Syed,Fort Jim Fire Safe Council
13789045,May 13 2026,Presentation,Crest Fire Safe Council presentation; legislative updates,Safer from Wildfires; Sustainable Insurance Strategy,Other,1,90240,Brenda,Caloca,Crest Fire Safe Council
13675071,May 13 2026,Presentation,Presenting legislative updates,Legislation,City,1,93630,Richie,Sayavong,Kerman
13788918,May 12 2026,Presentation,Public Comment Support on Wildfire package,Insurance Issues,City,25,91009,Dystanie,Flores,City of Duarte
13790201,May 12 2026,Presentation,Provided public comment during city council meeting,Legislation,City,1,93610,Richie,Sayavong,Chowchilla
13788887,May 12 2026,Meeting,Connecting to provide an Overview and identify collaboration ways,CDI Overview,Government Agencies,1,92648,Brenda,Caloca,Huntington Beach Fire Department
13788989,May 11 2026,Meeting,Discuss the possibility of collaborating for an event,Emergency Preparedness,Other,1,92683,Brenda,Caloca,Westminster Police Department
